;Прайс-лист;;;;;
;;;;;;
;"ТОВ ""КАРП ЗУМ УКРАЇНА""";;;;;
;;;;;;
;У валютах цін.;;;;;
;Ціни зазначені на 10.08.2016;;;;;
;;;;;;
;;;;;;
;Номенклатура.Родитель/ Номенклатура;Залишок;Номенклатура.Артикул ;Розничная ЕВРО;;
;;;;Ціна;Од.;
;Услуги<(00002)>;;;;;
;        Boilies by Carp Zoom 20 mm, plum 800 g  (слива);;CZ4627;3,19 EUR;шт;
;        Boilies by Carp Zoom 20 mm, scopex 800 g  (скопекс);;CZ2656;3,19 EUR;шт;
;        Boilies by Carp Zoom 20 mm, strawberry 800 g  (клубника);;CZ2632;3,19 EUR;шт;
;        Boilies by Carp Zoom 20 mm, sweet corn 800g  (сладкая кукруза);;CZ7316;3,19 EUR;шт;
;        Boilies by Carp Zoom 20 mm, vanilla 800 g  (ваниль);;CZ4704;3,19 EUR;шт;
;        Braid scissors  (Рыбацкие ножницы,нержавеющая сталь);14,000;CZ1045;1,45 EUR;шт;
;        Braid scissors with hook sharpener (Рыбацкие ножницы,нержавеющая сталь);;CZ1229;3,23 EUR;шт;
;        Braid Zoom STR-G braided  line (dark grey),0,25, 13,0kg,130m (Тонущий плетеный Шнур-Германия, круглый,без памяти,темно-серый);;CZ0056;8,18 EUR;шт;
;        Braid Zoom STR-G braided  line (dark grey),0,30, 15,2kg,130m (Тонущий плетеный Шнур-Германия, круглый,без памяти,темно-серый);;CZ0063;8,18 EUR;шт;
;        BULLDOG 50R (Классическая катушка с задним тормозом,6+1BB,Металлический барабан,усиленный ролик, складная ручка);;CZ8044;16,32 EUR;шт;
;        Carp Box XXL (КАРПОВАЯ КОРОБКА-XXL, РАЗМЕР:37x29x6см.);;CZ2516;14,18 EUR;шт;
;"        Carp Cradle (Карповая ""Колыбель"" , размер:120x62x25см.)";;CZ7689;27,68 EUR;шт;
;        Carp Cradle;;CZ7864;28,35 EUR;шт;
;        Carp Fiesta, Mussel, 3 kg (мидии);;CZ3271;3,03 EUR;шт;
;        Carpsack (Карповый мешок, размер:100x80см.);;CZ0970;3,98 EUR;шт;
;        Combi-rig brown №2 (Бойловый поводок с японскими крючками,19.5 см,2 шт);;CZ1298;1,88 EUR;шт;
;        CZ Adventure Saw (походная ручная пила,длина лезвия 20,5 см);;CZ3681;4,49 EUR;шт;
;        CZ ALPHA 2 section landing net (45x40x130) (Телескопический подсак,10мм ЧЕРНАЯ СЕТКА);;CZ8181;4,34 EUR;шт;
;        CZ ALPHA 2 section landing net (50x40x150) (Телескопический подсак,10мм ЧЕРНАЯ СЕТКА);;CZ8174;4,49 EUR;шт;
;        CZ Bait Alarm Set  (РАДИО-СИГНАЛИЗАТОРЫ ПОКЛЕВКИ 3+1);;CZ7443;58,28 EUR;шт;
;        CZ Bait Rocket (Ракета для прикормки);;CZ6439;4,88 EUR;шт;
;        CZ Balanced Boilie, Banana-Hemp, 100g (банан-конопляное семя);;CZ0345;2,00 EUR;шт;
;        CZ Balanced Boilie, Strawberry-Fish, 100g (клубника-рыба);;CZ0321;2,00 EUR;шт;
;        CZ Barbed Boilie Stops, Brown - (Стоппер для бойлов - елочка, коричневый,30шт/листе, 2 листа);;CZ6385;1,43 EUR;шт;
;        CZ Barbed Boilie Stops, Matte Green - (Стоппер для бойлов - елочка, зеленый, 30шт/листе, 2 листа);;CZ6392;1,43 EUR;шт;
;        CZ BETA 2 section landing net (45x45x150)  (Телескопический подсак,8мм ЧЕРНАЯ СЕТКА);;CZ8143;5,93 EUR;шт;
;        CZ BETA 2 section landing net (50x50x180)  (Телескопический подсакК,8мм ЧЕРНАЯ СЕТКА);;CZ8150;6,74 EUR;шт;
;        CZ BETA 2 section landing net (50x50x210)  (Телескопический подсак,8мм ЧЕРНАЯ СЕТКА);;CZ8167;7,43 EUR;шт;
;        CZ Bite Alarm  (Цифровой сигнализатор клева);;CZ7450;5,93 EUR;шт;
;        CZ Bite Alarm for Fanatic Set  (СИГНАЛИЗАТОР,СПЕЦИАЛЬНОЕ РЕЗИНОВОЕ ПОКРЫТИЕ,РАБОТАЕТ ОТ 9-ВОЛЬТОВОЙ БАТАРЕИ);;CZ1541;32,25 EUR;шт;
;        CZ Bivvy Lamp and Receiver for Fanatic Set (СИГНАЛИЗИРУЮЩАЯ ПАЛАТОЧНАЯ ЛАМПА С МАГНИТНЫМ КРЕПЕЖЕМ,);;CZ1558;28,28 EUR;шт;
;        CZ Boilie Drying Bag (60x40cm) (СУМКА ДЛЯ СУШКИ БОЙЛОВ);;CZ7382;4,49 EUR;шт;
;        CZ Boilies by Carp Zoom, 16mm, fish, 10kg (рыба);;CZ7153;31,84 EUR;шт;
;        CZ Boilies by Carp Zoom, 16mm, honey, 10kg (мед);;CZ7139;31,84 EUR;шт;
;        CZ Boilies by Carp Zoom, 16mm, pineapple, 10kg (ананас);;CZ6057;31,84 EUR;шт;
;        CZ Boilies by Carp Zoom, 16mm, strawberry, 10kg (клубника);;CZ7115;31,84 EUR;шт;
;        CZ Boilies by Carp Zoom, 16mm, sweet corn, 10kg (сладкая кукруза);;CZ7184;31,84 EUR;шт;
;        CZ Boilies by Carp Zoom, 16mm, vanilla, 10kg (ваниль);;CZ7146;31,84 EUR;шт;
;        CZ Braided Line Cutter (Разрезатель плетенных шнуров,нержавеющая сталь);40,000;CZ3735;2,24 EUR;шт;
;        CZ Camou Field Boots, 41  (Обувь,водонепрницаемая,для любого рельефа);;CZ2296;20,93 EUR;шт;
;        CZ Camou Field Boots, 42  (Обувь,водонепрницаемая,для любого рельефа);;CZ2302;20,93 EUR;шт;
;        CZ Camou Field Boots, 45  (Обувь,водонепрницаемая,для любого рельефа);;CZ2333;20,93 EUR;шт;
;        CZ Camou Full Comfort Boilie Armchair (Камуфляжное бойловое кресло с подлокотниками - полный комфорт с регулируемыми ножками и наклоном спинки, размер: 60x60x35/97см);;CZ4733;53,93 EUR;шт;
;        CZ Carp Barrel, 20mm, 110g, strawberry-fish (клубника-рыба );;CZ8709;1,45 EUR;шт;
;        CZ Carp Landing Net, 1 section (100x100x180)  (Традиционный бойловый подсак);;CZ8228;22,43 EUR;шт;
;        CZ Carp Landing Net, 2 section (100x100x270)  (Бойловый подсак из двух частей);;CZ8235;23,93 EUR;шт;
;        CZ Carp Zoom Cap (КЕПКА);;CZ/CAP;2,48 EUR;шт;
;        CZ Compact Digital scales, (Электронные весы до 25 кг.);;CZ3231;11,70 EUR;шт;
;        CZ DELTA 2 section landing net (67x60x250);;CZ8204;16,50 EUR;шт;
;        CZ Digital Scales (Электронные весы до 50 кг.);;CZ2104;10,43 EUR;шт;
;        CZ Eco Keepnet, 4 section (?35+?45x140)  (МАТЕРЧАТЫЙ САДОК С ПЛАСТМАССОВЫМИ КОЛЬЦАМИ);;CZ8365;3,98 EUR;шт;
;        CZ Eco Keepnet, 5 section (?35+?45x160)  (МАТЕРЧАТЫЙ САДОК С ПЛАСТМАССОВЫМИ КОЛЬЦАМИ);;CZ8372;4,49 EUR;шт;
;        CZ Eco Keepnet, 6 section (?35+?45x180)  (МАТЕРЧАТЫЙ САДОК С ПЛАСТМАССОВЫМИ КОЛЬЦАМИ);;CZ8389;5,48 EUR;шт;
;"        CZ Elite Carp Landing Net 21.8m long 2pcs strong carbon composite handle; 42"" (105cm) arms; reinforced nylon block; aluminum arm ends and bottom cap; super soft and strong green mesh ( 105x105x105 см,КАРБОНОВАЯ РУЧКА,ЗЕЛЕНАЯ СЕТКА,РУЧКА ИЗ 2 ЧАСТЕЙ,180 см )";;CZ7504;41,93 EUR;шт;
;        CZ Elite Carp Landing Net 31.8m long telescopic handle, 105cm arms, reinforced nylon block, super soft and strong green mesh (105x105x105 см,  РУЧКА ТЕЛЕСКОПИЧЕСКАЯ,180 см,ЗЕЛЕНАЯ СЕТКА );;CZ1527;39,74 EUR;шт;
;"        CZ Elite Carp Landing Net 41.8m long 1pc strong carbon composite handle; 105cm arms; reinforced nylon block, arm ends and bottom cap; super soft and strong black mesh (105x105x105 см,КАРБОНОВАЯ РУЧКА, ИЗ ОДНОЙ ЧАСТИ 180 см, ЧЕРНАЯ КРЕПКАЯ СЕТКА)";;CZ7528;32,24 EUR;шт;
